URN,RELDENOM,ADMPOL_PT,EGENDER,TOTPUPS,TOTAL EXP,EXPPUP,PSEN_ALL,PTFSM6CLA1A,PTEBACENG_E_PTQ_EE,PTEBACMAT_E_PTQ_EE,PTEBAC2SCI_E_PTQ_EE,PTEBACHUM_E_PTQ_EE,PTEBACLAN_E_PTQ_EE,PTEALGRP2,KS2APS,ATT8SCR_17,P8MEA_17,P8MEA,ATT8SCR
107769,1,2,3,1323,7255770,5484.331066,0.12,0.11,0.99,1,0.98,0.84,0.46,0.02,29.9,51,0.01,0.25,53.9
107775,1,2,3,898,6068456,6757.746102,0.22,0.49,0.98,1,0.98,0.82,0.43,0.66,26.6,40.4,0.15,0.11,40.6
107778,1,2,3,923,5409948,5861.265439,0.06,0.32,0.98,0.99,0.98,0.94,0.15,0.16,28.3,39.8,-0.05,-0.53,39.4
107782,3,2,3,780,4444998,5698.715385,0.07,0.33,0.95,0.96,0.94,0.56,0.28,0.14,27.6,44.4,-0.11,-0.36,40.6
136502,1,2,3,724,5113148,7062.359116,0.27,0.53,0.98,0.98,0.98,0.48,0.16,0.36,26.7,38.9,0.09,-0.53,35.1
107780,1,2,3,1245,6885491,5530.514859,0.19,0.32,0.96,0.99,0.96,0.83,0.36,0.03,28.1,41.1,-0.28,-0.19,42.3
108088,1,2,3,619,3895174,6292.688207,0.12,0.21,1,1,1,0.83,0.15,0.11,29.7,46.8,0,-0.16,48.5
108057,1,2,3,1400,7460253,5328.752143,0.14,0.2,0.99,0.99,0.99,0.8,0.68,0.17,29.6,56.3,0.88,0.69,57.8
108079,1,2,3,1196,6216555,5197.788462,0.09,0.27,0.99,1,0.97,0.92,0.54,0.07,28.9,39.6,-0.61,0.09,48
108081,1,2,3,971,5856426,6031.334706,0.05,0.45,0.95,0.95,0.94,0.8,0.09,0.03,27.6,44,-0.06,-0.36,39.9
108083,1,2,3,1396,7324128,5246.510029,0.06,0.15,0.98,1,0.99,0.78,0.37,0.07,28.8,49.3,0.04,0.05,48
108085,1,2,3,1325,7108822,5365.148679,0.12,0.14,0.97,0.99,0.98,0.92,0.8,0.03,29.3,47.5,-0.25,-0.07,48.2
146217,1,2,3,900,2312560,2569.511111,0.08,0.21,1,1,1,0.4,0.44,0.02,29.2,49.2,-0.03,0.5,54.3
108095,3,2,3,908,5077316,5591.757709,0.07,0.21,0.98,0.98,0.98,0.92,0.92,0.27,29.1,54,0.43,0.33,51.9
108096,3,2,3,941,6232988,6623.791711,0.06,0.33,0.94,0.97,0.94,0.74,0.22,0.14,29.1,45,-0.01,-0.08,46.7
108097,3,2,3,935,5668481,6062.546524,0.18,0.48,0.91,1,0.97,0.8,0.45,0.47,27.6,41.3,-0.03,-0.02,42.3
108055,1,2,3,1138,7413995,6514.934095,0.09,0.43,0.99,0.99,0.98,0.88,0.39,0.37,28.5,46.9,0.18,-0.37,42.3
108058,1,2,3,1482,8669453,5849.833333,0.11,0.33,0.99,0.99,1,0.91,0.8,0.22,27.7,37.4,-0.36,-0.04,43.1
108059,1,2,3,1255,8900233,7091.819124,0.35,0.53,1,1,0.98,0.8,0.71,0.33,27.1,44.5,0.32,0.16,44.2
108075,1,2,3,990,6186221,6248.708081,0.2,0.36,0.95,0.95,0.95,0.86,0.32,0.17,26.9,42.7,0.05,-0.33,39.3
108076,1,2,3,2300,12718621,5529.835217,0.16,0.23,0.98,0.99,0.98,0.82,0.45,0.19,28.7,48.4,0.04,0.51,52.8
108271,1,2,3,1586,8546627,5388.793821,0.12,0.15,0.97,0.99,0.99,0.92,0.58,0.1,29.4,48.1,0.14,-0.03,49.2
108410,1,2,3,743,5203850,7003.835801,0.12,0.56,0.99,1,0.99,0.92,0.08,0.07,28.4,42.5,0.02,-0.49,41
108524,1,2,3,1590,10266220,6456.742138,0.06,0.42,0.93,0.95,0.91,0.52,0.22,0.03,29.4,36.6,-1.11,-1.36,35.1
108644,1,2,3,846,5573606,6588.186761,0.12,0.35,0.99,1,1,0.97,0.56,0.03,29.4,45.3,-0.31,-0.53,43.4
108645,1,2,3,795,5565501,7000.630189,0.08,0.24,0.95,0.99,0.97,0.8,0.24,0.02,29,41.5,-0.49,-0.5,42.8
108627,1,2,3,782,4066044,5199.544757,0.14,0.15,0.98,0.99,0.99,0.85,0.24,0.05,29.5,55.9,0.43,0.15,51.8
108628,1,2,3,315,3357551,10658.89206,0.15,0.62,0.95,0.97,0.92,0.88,0.17,0.03,27.8,40.1,-0.51,-1.26,30.4
108639,1,2,3,1203,6855948,5699.042394,0.05,0.23,0.98,0.99,0.98,0.92,0.42,0.02,28.7,48.1,-0.26,0.01,46.4
108640,1,2,3,1060,7194742,6787.492453,0.07,0.3,0.99,1,0.99,0.78,0.49,0.09,28.6,40.8,-0.46,-0.13,44.7
108642,1,2,3,465,3835570,8248.537634,0.12,0.34,0.99,0.99,0.99,0.84,0.32,0.04,26.8,47.3,0.3,0.01,41.2
108638,1,2,3,1640,8094429,4935.627439,0.1,0.09,0.99,1,0.99,0.88,0.42,0.04,29.6,52.9,0.25,0.39,54.6
108641,1,2,3,921,7912691,8591.412595,0.13,0.34,0.97,0.97,0.95,0.61,0.39,0.02,28.8,45,0.12,-0.59,40.7
108730,1,2,3,664,5037706,7586.906627,0.55,0.41,1,1,1,0.51,0.06,0,28,45.3,-0.08,0.25,46.9
108731,1,2,3,648,4085917,6305.427469,0.15,0.51,0.98,0.98,0.94,0.83,0.11,0,28.6,39,-0.19,-0.91,37.1
133725,1,2,3,773,1563601,2022.769728,0.23,0.41,0.95,0.96,0.94,0.7,0.16,0.01,27.9,43.1,-0.37,-0.25,41.1
108727,1,2,3,895,5150423,5754.66257,0.12,0.54,0.99,0.99,0.99,0.9,0.37,0.13,28.1,42.2,-0.44,-0.21,42.4
108862,1,2,3,564,3781670,6705.088652,0.13,0.39,0.97,1,0.99,0.76,0.08,0,29.3,43,-0.72,-0.94,39.5
108870,3,2,3,1577,8208562,5205.17565,0.11,0.15,1,1,0.99,0.98,0.8,0.01,30.1,50,-0.19,-0.02,52.2
